feature,importance
alcohol,0.2374207561469766
volatile acidity,0.1252515260770065
density,0.11580999051394417
chlorides,0.08101955344142545
free sulfur dioxide,0.07418094061753532
total sulfur dioxide,0.07103094869363456
citric acid,0.06948027839576933
sulphates,0.06560287912389326
residual sugar,0.06514184483549794
pH,0.04970026567014321
fixed acidity,0.045361016484173726
type,0.0
